| Source Name |         RA2000 |          Dec2000 | PC | 90cm P:A | 90cm P:B | 90cm P:C | 90cm P:D | 90cm P:Flux | 20cm L:A | 20cm L:B | 20cm L:C | 20cm L:D | 20cm L:Flux | 6cm C:A | 6cm C:B | 6cm C:C | 6cm C:D | 6cm C:Flux | 3.7cm X:A | 3.7cm X:B | 3.7cm X:C | 3.7cm X:D | 3.7cm X:Flux | 2cm U:A | 2cm U:B | 2cm U:C | 2cm U:D | 2cm U:Flux | 1.3cm K:A | 1.3cm K:B | 1.3cm K:C | 1.3cm K:D | 1.3cm K:Flux | 0.7cm Q:A | 0.7cm Q:B | 0.7cm Q:C | 0.7cm Q:D | 0.7cm Q:Flux |
|    0001+192 | 0.285923179167 |    19.2427227389 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.18 |
|    0003-174 |     0.84165375 |      -17.4532725 |  T |        X |        S |        S |        S |         7.0 |        X |        X |        X |        S |         2.2 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0004+462 |  1.06719854583 |    46.2549916694 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    0004+203 |        1.14899 |       20.3284025 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.21 |
|    0005+544 |  1.26818137917 |    54.4735906194 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |       0.48 |           |           |           |           |          nan |         W |         W |         W |         W |         0.46 |
|    0005+383 |  1.48823087083 |    38.3375412694 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        0.52 |       P |       P |       P |       P |        0.8 |         P |         P |         P |         P |          1.1 |       S |       S |       S |       S |       0.67 |           |           |           |           |          nan |         S |         S |         S |         S |          0.8 |
|    0006-063 |  1.55788705833 |   -6.39314869444 |  A |          |          |          |          |         nan |        S |        X |        X |        X |         1.6 |       P |       P |       P |       P |        1.3 |         P |         P |         P |         P |          1.6 |       P |       P |       P |       P |        1.1 |           |           |           |           |          nan |         S |         S |         S |         S |          1.5 |
|    0006-000 |      1.5943075 | -0.0733572222222 |  T |        X |        X |        S |        S |        12.0 |        X |        X |        X |        S |         3.8 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0006+243 |  1.70328914583 |    24.3767756917 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.17 |
|    0008+117 |      2.0034975 |    11.7335511111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.11 |
|    0008+686 |   2.1394647875 |    68.6227902889 |  C |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       W |       W |       W |       W |       0.29 |           |           |           |           |          nan |         W |         W |         W |         W |         0.27 |
|    0009+064 |     2.26638625 |    6.47256611111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.32 |
|    0009+400 |  2.26738997917 |    40.0296402056 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    0010+207 |  2.61976041667 |       20.7971425 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.11 |
|    0010+109 |      2.6291912 |    10.9748622556 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        0.06 |       W |       W |       W |       W |       0.27 |         S |         S |         S |         S |         0.44 |       W |       W |       W |       W |       0.35 |           |           |           |           |          nan |         S |         S |         S |         S |          1.9 |
|    0010+174 |  2.64162757917 |    17.4052114861 |  A |          |          |          |          |         nan |        P |        S |        X |        X |         0.9 |       P |       P |       P |       P |       0.98 |         P |         P |         P |         P |         0.95 |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    0010-418 |    2.718832025 |   -41.8863307639 |  C |          |          |          |          |         nan |        P |        P |        P |        P |         4.1 |       X |       S |       P |       P |       1.25 |         X |         X |         S |         S |         0.58 |       X |       X |       X |       X |       0.25 |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    0011-262 |      2.7551948 |    -26.209271425 |  A |          |          |          |          |         nan |        S |        S |        S |        X |         0.5 |       P |       P |       P |       P |        0.8 |         S |         S |         S |         S |         0.44 |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0011+707 |  2.88292845833 |     70.758784875 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.5 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    0011+083 |  2.89695687917 |    8.39877429722 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.42 |
|    0012-399 |  3.24961666667 |   -39.9071766667 |  C |          |          |          |          |         nan |          |          |          |          |         nan |       P |       P |       P |       P |        1.5 |         P |         P |         P |         P |          1.6 |         |         |         |         |        nan |         P |         P |         P |         P |          1.2 |           |           |           |           |          nan |
|    0013+466 |   3.3187037125 |     46.602408375 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    0013+408 |  3.37970922083 |    40.8603177972 |  A |          |          |          |          |         nan |        X |        X |        X |        X |         1.0 |       X |       X |       X |       X |        0.8 |         S |         X |         X |         X |         0.67 |       S |       S |       S |       X |        0.7 |         S |         S |         S |         X |         0.81 |         W |         W |         W |         W |          0.5 |
|    0013+191 |   3.4849003625 |    19.1783096972 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.18 |
|    0014+612 |      3.7033975 |    61.2955146944 |  C |        X |        S |        S |        X |         9.0 |        X |        X |        S |        P |        3.85 |       X |       X |       X |       S |       1.85 |         X |         X |         X |         S |          1.2 |       X |       X |       S |       S |        0.9 |           |           |           |           |          nan |         X |         X |         X |         W |          0.6 |
|    0016-002 |  4.04620230833 |  -0.253457022222 |  A |          |          |          |          |         nan |        P |        P |        S |        X |        0.85 |       P |       P |       P |       P |       0.62 |         P |         P |         P |         P |         0.56 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.34 |
|    0017+815 |  4.28531230417 |     81.585593425 |  A |          |          |          |          |         nan |        S |        S |        S |        C |         0.7 |       P |       P |       P |       P |       1.05 |         P |         P |         P |         P |          1.1 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0017+532 |  4.46566622083 |    53.2053113889 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    0018-127 |  4.71416708333 |   -12.7092261111 |  T |        X |        S |        S |        S |         9.0 |        X |        X |        X |        S |         2.2 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0019+203 |      4.9077271 |    20.3626790583 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       P |       P |       P |       P |        1.1 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    0019+260 |  4.91575244583 |    26.0478552111 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.17 |
|    0019+734 |  4.94077677917 |    73.4583381806 |  A |          |          |          |          |         nan |        P |        S |        X |        X |         1.0 |       P |       P |       P |       P |        1.3 |         P |         P |         P |         P |         1.48 |       P |       P |       P |       P |        1.4 |           |           |           |           |          nan |         S |         S |         S |         S |          0.8 |
|    0020+156 |  5.10549166667 |    15.6813055556 |  T |        X |        X |        S |        S |        10.0 |        X |        X |        X |        S |         2.1 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0021+732 |     5.36406275 |    73.2116477444 |  C |          |          |          |          |         nan |        S |        S |        X |        X |        0.73 |       S |       S |       S |       X |        0.4 |         S |         S |         S |         X |          0.2 |         |         |         |         |        nan |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    0022+454 |  5.52754722083 |    45.4260722472 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    0022+002 |    5.605941375 |   0.248933733333 |  B |          |          |          |          |         nan |        P |        P |        P |        P |         2.7 |       S |       P |       P |       P |        1.1 |         X |         P |         P |         P |         0.64 |       X |       X |       X |       X |       0.35 |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    0022+061 |    5.635171775 |    6.13451914722 |  B |          |          |          |          |         nan |        S |        S |        X |        X |        0.37 |       S |       S |       S |       S |       0.54 |         P |         P |         P |         P |         0.78 |       S |       S |       S |       S |        0.5 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    0024+467 |  6.08974458333 |    46.7350655556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.33 |
|    0024+246 |  6.11388333333 |    24.6573055556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.16 |
|    0024-420 |  6.17912467083 |   -42.0344306111 |  B |          |          |          |          |         nan |        P |        P |        P |        P |         2.8 |       P |       P |       P |       P |        1.7 |         P |         P |         P |         P |         0.94 |       X |       S |       S |       S |        0.4 |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    0025+393 |   6.3589904375 |    39.3265109722 |  A |          |          |          |          |         nan |        S |        X |        X |        X |        0.84 |       S |       S |       X |       X |       0.81 |         S |         S |         S |         S |         0.54 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    0025-260 |  6.45486791667 |   -26.0368597222 |  C |        S |        S |        S |        S |        20.0 |        X |        S |        P |        P |         8.3 |       X |       X |       S |       P |        3.5 |         X |         X |         S |         S |         1.93 |       X |       X |       X |       S |        1.5 |           |           |           |           |          nan |         W |         W |         W |         W |         0.36 |
|    0026+351 |    6.673852425 |    35.1450767556 |  B |          |          |          |          |         nan |        X |        X |        X |        X |        0.85 |       S |       X |       X |       X |       0.48 |         S |         X |         X |         X |         0.29 |         |         |         |         |        nan |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    0027+094 |  6.77414458333 |    9.49937555556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.11 |
|    0027+226 |  6.81404806667 |    22.6994635972 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    0028+200 |  7.12424370417 |    20.0074290222 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.16 |
|    0029+349 |  7.30934356667 |    34.9422907111 |  B |          |          |          |          |         nan |        P |        P |        P |        P |        1.89 |       P |       P |       P |       P |       1.85 |         P |         P |         P |         P |         0.96 |       S |       S |       S |       S |        0.6 |         S |         S |         S |         S |         0.58 |         W |         W |         W |         W |         0.36 |
